,code_num,自选股分类
335,HK0884,"ROE+,HK,New_HK"
336,HK0902,国企指数
337,HK0914,"国企指数,New_HK"
338,HK0939,"国企指数,Hold"
339,HK0940,港A40
340,HK0956,"HK,New_HK,HillHouse"
341,HK0960,"HK,New_HK"
342,HK0963,港A40
343,HK0998,国企指数
344,HK1030,ROE+
345,HK1035,港A40
346,HK1044,ROE+
347,HK1060,港A40
348,HK1061,ROE+
349,HK1066,国企指数
350,HK1088,HK
351,HK1091,HillHouse
352,HK1093,"ROE+,HK,New_HK"
353,HK1099,国企指数
354,HK1112,港A40
355,HK1119,Select
356,HK1147,ROE+
357,HK1167,Hold
358,HK1193,HK
359,HK1211,国企指数
360,HK1233,"ROE+,HK"
361,HK1257,"HK,New_HK"
362,HK1268,ROE+
363,HK1277,"ROE+,New_HK"
364,HK1297,港A40
365,HK1302,"HK,New_HK,HillHouse"
366,HK1322,港A40
367,HK1330,港A40
368,HK1336,国企指数
369,HK1339,国企指数
370,HK1359,国企指数
371,HK1371,港A40
372,HK1381,"HK,New_HK"
373,HK1385,港A40
374,HK1398,"国企指数,Hold"
375,HK1448,"Hold,HK,New_HK"
376,HK1501,New_HK
377,HK1513,HillHouse
378,HK1521,"HK,HillHouse"
379,HK1523,"ROE+,HK,New_HK"
380,HK1528,New_HK
381,HK1530,"HK,New_HK,HillHouse"
382,HK1558,"ROE+,HK,New_HK"
383,HK1565,"HK,New_HK"
384,HK1579,"HK,New_HK"
385,HK1589,"HK,New_HK"
386,HK1598,New_HK
387,HK1600,HK
388,HK1601,New_HK
389,HK1622,ROE+
390,HK1639,港A40
391,HK1640,ROE+
392,HK1645,ROE+
393,HK1661,港A40
394,HK1665,"ROE+,HK"
395,HK1666,HillHouse
396,HK1668,港A40
397,HK1686,ROE+
398,HK1717,"Select,HK"
399,HK1745,"ROE+,New_HK"
400,HK1747,ROE+
401,HK1748,HK
402,HK1755,ROE+
403,HK1763,New_HK
404,HK1765,"HK,New_HK"
405,HK1766,"港A40,HK"
406,HK1769,"ROE+,HK"
407,HK1773,"HK,New_HK"
408,HK1778,港A40
409,HK1789,"HK,New_HK,HillHouse"
410,HK1816,"港A40,HK,New_HK"
411,HK1821,New_HK
412,HK1833,港A40
413,HK1845,"ROE+,HK"
414,HK1848,ROE+
415,HK1857,"HK,New_HK"
416,HK1858,"HK,New_HK"
417,HK1859,"ROE+,New_HK"
418,HK1871,"HK,New_HK"
419,HK1873,"ROE+,Select,HK,New_HK"
420,HK1877,HillHouse
421,HK1890,"Hold,ROE+,HK,New_HK"
422,HK1895,"ROE+,New_HK"
423,HK1898,国企指数
424,HK1905,"HK,New_HK"
425,HK1909,"ROE+,HK,New_HK"
426,HK1918,ROE+
427,HK1920,ROE+
428,HK1922,ROE+
429,HK1928,ROE+
430,HK1941,ROE+
431,HK1951,"Hold,New_HK,HillHouse"
432,HK1966,"ROE+,HK,New_HK"
433,HK1980,港A40
434,HK1983,"HK,New_HK"
435,HK1986,HK
436,HK1988,国企指数
437,HK2001,"Hold,HK,New_HK"
438,HK2005,"ROE+,HK,New_HK"
439,HK2007,ROE+
440,HK2013,HK
441,HK2020,"ROE+,HK,New_HK"
442,HK2048,HK
443,HK2107,Hold
444,HK2126,Hold
445,HK2128,HK
446,HK2186,"HK,New_HK"
447,HK2196,HK
448,HK2202,"国企指数,Hold,ROE+,Select,HK"
449,HK2231,ROE+
450,HK2233,New_HK
451,HK2238,国企指数
452,HK2269,"HK,New_HK"
453,HK2283,ROE+
454,HK2293,ROE+
455,HK2296,"ROE+,HK"
456,HK2313,ROE+
457,HK2318,"国企指数,ROE+"
458,HK2328,国企指数
459,HK2333,国企指数
460,HK2338,"国企指数,ROE+"
461,HK2357,港A40
462,HK2359,"HK,HillHouse"
463,HK2369,港A40
464,HK2381,ROE+
465,HK2382,"ROE+,HK"
466,HK2400,HK
467,HK2500,HillHouse
468,HK2588,"Select,HK,New_HK"
469,HK2601,国企指数
470,HK2606,"ROE+,New_HK"
471,HK2628,"国企指数,Hold"
472,HK2660,"ROE+,HK"
473,HK2666,"HK,New_HK"
474,HK2669,"ROE+,Select"
475,HK2686,New_HK
476,HK2727,港A40
477,HK2768,"ROE+,HK,New_HK"
478,HK2777,HK
479,HK2779,New_HK
480,HK2798,New_HK
481,HK2883,国企指数
482,HK3306,"ROE+,Select,HK"
483,HK3309,HK
