,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
140,-1163.0,432.0,1595.0,-0.729153605015674,-0.6910047427710417,-218.87896752798633,143.0,0.7412587412587412,0.826857227929135,50.0,210.0,0.0,0.0
192,-1156.0,555.0,1776.0,-0.6509009009009009,-0.333478633829344,-107.32875424368599,143.0,0.6783216783216783,0.8375035141973574,60.0,150.0,0.0,0.0
150,-1147.0,570.0,1717.0,-0.668025626092021,-0.3889683369588143,-132.55860107730572,143.0,0.7412587412587412,0.8292392437099896,50.0,260.0,0.0,0.0
243,-1146.0,844.0,2008.0,-0.5707171314741036,0.08285271823285947,30.767239901995747,143.0,0.6783216783216783,0.8450513791238508,65.0,245.0,0.0,0.0
142,-1135.0,480.0,1615.0,-0.7027863777089783,-0.5660346917428918,-181.43591976249255,143.0,0.7412587412587412,0.8310257555456305,50.0,220.0,0.0,0.0
233,-1130.0,782.0,1930.0,-0.5854922279792746,0.058037659056709906,19.645054166338596,143.0,0.6783216783216783,0.8472147106544078,65.0,195.0,0.0,0.0
98,-1123.0,243.0,1389.0,-0.80849532037437,-2.067926992931093,-526.5031888434479,143.0,0.7342657342657343,0.8172497965825876,45.0,160.0,0.0,0.0
64,-1122.0,236.0,1372.0,-0.8177842565597667,-1.849688985095665,-444.26840474459146,143.0,0.7552447552447552,0.8083361803894773,40.0,150.0,0.0,0.0
229,-1117.0,396.0,1596.0,-0.699874686716792,-0.6081488433046939,-170.85274814852554,143.0,0.6713286713286714,0.8472791905933825,65.0,175.0,0.0,0.0
159,-1105.0,730.0,1835.0,-0.6021798365122616,-0.30682021961154143,-101.89711869352367,143.0,0.7482517482517482,0.8371167452830188,50.0,305.0,0.0,0.0
274,-1086.0,611.0,1715.0,-0.6332361516034986,-0.22342645022709653,-68.45698882399529,143.0,0.6643356643356644,0.8549485775343929,70.0,240.0,0.0,0.0
244,-1085.0,890.0,1993.0,-0.5444054189663824,0.19177056652862803,71.50130379002265,143.0,0.6783216783216783,0.8532990805840995,65.0,250.0,0.0,0.0
257,-1080.0,205.0,1358.0,-0.7952871870397643,-1.6419447365503481,-362.94396713430194,143.0,0.6503496503496503,0.8524590163934426,70.0,155.0,0.0,0.0
151,-1078.0,590.0,1668.0,-0.6462829736211031,-0.2928666055189858,-101.03071201293137,143.0,0.7412587412587412,0.8395116867649249,50.0,265.0,0.0,0.0
99,-1077.0,243.0,1343.0,-0.8019359642591214,-1.9659702870353335,-497.6247724735884,143.0,0.7342657342657343,0.8247355573637103,45.0,165.0,0.0,0.0
179,-1074.0,789.0,1898.0,-0.565858798735511,0.06468552347477172,24.219314618658785,143.0,0.7132867132867133,0.8460656442597105,55.0,245.0,0.0,0.0
258,-1067.0,216.0,1356.0,-0.7868731563421829,-1.725944740007288,-382.5838292984544,143.0,0.6503496503496503,0.8542349726775957,70.0,160.0,0.0,0.0
210,-1067.0,970.0,2065.0,-0.5167070217917675,0.32629324894553885,127.79665044069492,143.0,0.6853146853146853,0.8517231795441912,60.0,240.0,0.0,0.0
245,-1066.0,909.0,1993.0,-0.5348720521826392,0.22581020614470293,84.69971608409098,143.0,0.6783216783216783,0.855868036776636,65.0,255.0,0.0,0.0
234,-1060.0,826.0,1904.0,-0.5567226890756303,0.17316521733665374,58.188472921462285,143.0,0.6783216783216783,0.8566792861005949,65.0,200.0,0.0,0.0
66,-1058.0,247.0,1337.0,-0.7913238593866866,-1.761072695096324,-432.9805983076203,143.0,0.7552447552447552,0.8192688759822344,40.0,160.0,0.0,0.0
230,-1049.0,447.0,1579.0,-0.6643445218492717,-0.43636401145478987,-122.08199287662858,143.0,0.6713286713286714,0.8565764287667487,65.0,180.0,0.0,0.0
97,-1045.0,232.0,1300.0,-0.8038461538461539,-1.839023245594572,-445.5646823430241,143.0,0.7272727272727273,0.8284353964866197,45.0,155.0,0.0,0.0
196,-1043.0,483.0,1619.0,-0.644224830142063,-0.35231345102587047,-99.20389608585099,143.0,0.6783216783216783,0.8533876862524599,60.0,170.0,0.0,0.0
241,-1034.0,874.0,1926.0,-0.5368639667705088,0.16290790002954028,59.253569790976755,143.0,0.6783216783216783,0.8601946998377501,65.0,235.0,0.0,0.0
171,-1032.0,742.0,1809.0,-0.5704809286898839,-0.04467028949438683,-15.495889471953461,143.0,0.7132867132867133,0.8520854235344705,55.0,205.0,0.0,0.0
200,-1026.0,857.0,1911.0,-0.5368916797488226,0.29700659191157175,100.745401998064,143.0,0.6853146853146853,0.8574207893274042,60.0,190.0,0.0,0.0
167,-1019.0,450.0,1577.0,-0.6461636017755231,-0.6554179090847707,-190.21929609233518,143.0,0.7062937062937062,0.8526391901663052,55.0,185.0,0.0,0.0
256,-1018.0,206.0,1279.0,-0.7959343236903831,-1.3232798243996922,-292.623841525828,143.0,0.6503496503496503,0.8609289617486339,70.0,150.0,0.0,0.0
259,-1015.0,216.0,1304.0,-0.7783742331288344,-1.6459530241144373,-356.9677178811444,143.0,0.6503496503496503,0.8613387978142076,70.0,165.0,0.0,0.0
180,-1013.0,835.0,1883.0,-0.5379713223579394,0.1715126350882542,64.95337850668568,143.0,0.7132867132867133,0.8548086570159095,55.0,250.0,0.0,0.0
67,-1012.0,247.0,1291.0,-0.7838884585592564,-1.6519270742758343,-404.1021819377608,143.0,0.7552447552447552,0.8271267509395286,40.0,165.0,0.0,0.0
96,-1000.0,232.0,1237.0,-0.8084074373484236,-1.653733721725498,-389.9089153300696,143.0,0.7272727272727273,0.8358233459202101,45.0,150.0,0.0,0.0
181,-994.0,854.0,1883.0,-0.5278810408921933,0.2046744422706398,78.15179080075401,143.0,0.7132867132867133,0.8575318904973485,55.0,255.0,0.0,0.0
104,-990.0,279.0,1269.0,-0.7801418439716312,-1.0736604960108236,-282.4417509228425,143.0,0.7412587412587412,0.8405026582890285,45.0,190.0,0.0,0.0
240,-987.0,841.0,1846.0,-0.5346695557963164,0.13219208215510056,45.98892589007406,143.0,0.6783216783216783,0.8665494862087616,65.0,230.0,0.0,0.0
275,-986.0,680.0,1684.0,-0.5855106888361045,-0.03010375714478751,-9.491947996609683,143.0,0.6643356643356644,0.8683050621076532,70.0,245.0,0.0,0.0
105,-979.0,294.0,1273.0,-0.7690494893951296,-0.9501554051036639,-256.1631844897619,143.0,0.7412587412587412,0.842274850974706,45.0,195.0,0.0,0.0
211,-976.0,1039.0,2043.0,-0.4777288301517376,0.4631268678191003,184.536851173411,143.0,0.6853146853146853,0.8643690939410783,60.0,245.0,0.0,0.0
