,最后收益,最大收益,最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
666,-1596.0,370.0,1973.0,-0.8089204257475925,-1.7860769680055286,-649.9323187083447,194.0,0.7010309278350515,0.8371588089330025,60.0,200.0,60.0,0.0
167,-1596.0,504.0,2107.0,-0.7574750830564784,-1.3610944803889335,-708.9100546989704,184.0,0.7608695652173914,0.7874681336374615,40.0,190.0,40.0,0.0
134,-1595.0,607.0,2209.0,-0.7220461747397012,-1.3741808638967843,-715.1610446993873,184.0,0.7554347826086957,0.7862832455785068,40.0,160.0,40.0,0.0
584,-1592.0,994.0,2603.0,-0.6116019976949674,-0.5302439632847965,-342.59941456817455,178.0,0.7247191011235955,0.8141190198366394,55.0,240.0,35.0,0.0
209,-1584.0,290.0,1891.0,-0.8376520359598096,-1.4826301125261028,-554.4508380845634,168.0,0.7738095238095238,0.7676547515257193,40.0,230.0,30.0,0.0
779,-1583.0,432.0,2073.0,-0.7636275928605886,-1.5934024464909662,-670.5559147603851,199.0,0.6733668341708543,0.8497081712062258,65.0,190.0,75.0,0.0
931,-1583.0,600.0,2260.0,-0.7004424778761061,-1.5573729422676597,-776.1379840580986,194.0,0.6958762886597938,0.8540001880229389,70.0,220.0,65.0,0.0
392,-1575.0,363.0,2045.0,-0.7701711491442543,-1.8513078236086118,-758.5544558124025,194.0,0.7371134020618557,0.8199300699300699,50.0,170.0,65.0,0.0
44,-1574.0,280.0,1871.0,-0.8412613575628006,-1.3939785543137897,-537.0983979361675,168.0,0.7797619047619048,0.7534140285536933,35.0,190.0,30.0,0.0
424,-1570.0,304.0,1881.0,-0.834662413609782,-1.9130346634925042,-745.8911207962614,194.0,0.7371134020618557,0.8230523189399132,50.0,200.0,60.0,0.0
11,-1569.0,437.0,2023.0,-0.7755808205635195,-1.0722970325048236,-471.55650760274006,168.0,0.7738095238095238,0.7526932084309134,35.0,160.0,30.0,0.0
373,-1566.0,295.0,1875.0,-0.8352,-2.0215383698277,-614.0208374824579,198.0,0.7272727272727273,0.823529411764706,50.0,150.0,80.0,0.0
768,-1566.0,387.0,2084.0,-0.7514395393474088,-1.7364990776972853,-735.4822355714676,199.0,0.6733668341708543,0.8513618677042801,65.0,180.0,75.0,0.0
434,-1561.0,499.0,2114.0,-0.7384105960264901,-1.2671332864574845,-705.9299427073443,192.0,0.7291666666666666,0.8239195060599132,50.0,210.0,55.0,0.0
523,-1556.0,261.0,1908.0,-0.8155136268343816,-2.360819308881271,-855.9234584940878,194.0,0.711340206185567,0.8326793110965772,55.0,180.0,60.0,0.0
304,-1552.0,394.0,1953.0,-0.7946748591909882,-1.9384139695956832,-839.5584574982979,194.0,0.7628865979381443,0.8154032747119465,45.0,200.0,65.0,0.0
254,-1550.0,880.0,2463.0,-0.6293138449045879,-0.550103039708462,-347.7549708441982,178.0,0.7247191011235955,0.795921052631579,45.0,160.0,35.0,0.0
231,-1543.0,337.0,1897.0,-0.8133895624670533,-1.5688755324315697,-592.8075624452895,168.0,0.7738095238095238,0.7736123219994188,40.0,250.0,30.0,0.0
287,-1540.0,652.0,2209.0,-0.6971480307831598,-0.6266581672004652,-359.4872376788369,178.0,0.7359550561797753,0.8002592352559947,45.0,190.0,35.0,0.0
214,-1538.0,494.0,2362.0,-0.6511430990685859,-1.490531522244744,-892.0991343575303,192.0,0.7760416666666666,0.8041064049586777,40.0,230.0,55.0,0.0
