,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,s_time,e_time
47,803.0,1098.0,481.0,1.6694386694386694,1.8908067364289174,527.0745950771585,104.0,0.6538461538461539,1.241794640168624,40.0,150.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
48,782.0,1238.0,564.0,1.3865248226950355,1.9798040676962694,546.5808952939676,104.0,0.6634615384615384,1.2293927838075682,40.0,160.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
49,759.0,957.0,611.0,1.2422258592471358,1.2708342278528901,404.94703481698764,118.0,0.6101694915254238,1.1881040892193309,50.0,120.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
50,755.0,971.0,412.0,1.8325242718446602,1.4721190043697712,434.12109424818266,64.0,0.625,1.321413367390379,60.0,160.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
51,752.0,861.0,297.0,2.531986531986532,1.5298843860479399,436.3263869404413,64.0,0.59375,1.3782696177062375,50.0,120.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
52,752.0,847.0,265.0,2.8377358490566036,1.448324935751375,395.22265017217194,64.0,0.609375,1.4208170117515388,40.0,110.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
53,750.0,969.0,606.0,1.2376237623762376,0.9266505515997941,319.4518938910853,75.0,0.6133333333333333,1.2875766871165646,60.0,150.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
54,745.0,928.0,368.0,2.0244565217391304,1.101269304961612,366.7797984950899,75.0,0.6,1.320154705629566,50.0,110.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
55,739.0,825.0,505.0,1.4633663366336633,1.2474395682130754,326.34555541385026,63.0,0.6507936507936508,1.363860167405219,40.0,170.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
56,738.0,1038.0,598.0,1.234113712374582,1.588085601548379,438.39812523912764,118.0,0.6271186440677966,1.16198419666374,60.0,160.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
