,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
1339,452.0,872.0,471.0,0.9596602972399151,2.313588381116096,513.6838251300317,47.0,0.5957446808510638,1.2508324084350722,55.0,185.0,310.0,55.0
788,453.0,817.0,364.0,1.2445054945054945,2.3281579907143204,367.66602596464253,51.0,0.6274509803921569,1.2612456747404845,45.0,175.0,290.0,60.0
386,456.0,846.0,428.0,1.0654205607476634,2.9993788035438262,461.3988115363417,55.0,0.6727272727272727,1.2867924528301886,35.0,200.0,280.0,60.0
850,458.0,837.0,406.0,1.1280788177339902,2.0452735504714403,339.7649194799661,50.0,0.62,1.2724568709101725,45.0,190.0,290.0,55.0
1564,459.0,845.0,566.0,0.8109540636042403,2.6578614141393464,480.9504791370438,50.0,0.58,1.2264430192402564,60.0,180.0,290.0,55.0
47,459.0,695.0,459.0,1.0,2.465761286030363,368.6902074485084,58.0,0.7068965517241379,1.300392670157068,30.0,180.0,270.0,60.0
762,460.0,848.0,594.0,0.7744107744107744,0.9810504827781149,306.17646786377594,61.0,0.5901639344262295,1.227835562159485,45.0,170.0,280.0,50.0
951,462.0,850.0,594.0,0.7777777777777778,1.1059397967116915,370.58669624703,61.0,0.5901639344262295,1.2288261515601784,45.0,215.0,280.0,50.0
1045,463.0,869.0,421.0,1.0997624703087887,2.271931620055334,500.5205433770709,47.0,0.5957446808510638,1.2787477423239013,50.0,175.0,310.0,55.0
1069,463.0,817.0,382.0,1.212041884816754,2.819679641197174,427.4664881964161,42.0,0.6190476190476191,1.32536893886156,50.0,180.0,320.0,55.0
871,465.0,844.0,406.0,1.145320197044335,2.08737719899802,346.76369674260917,50.0,0.62,1.2766210588935158,45.0,195.0,290.0,55.0
695,465.0,897.0,506.0,0.9189723320158103,2.61676407802752,455.50242463259985,63.0,0.6507936507936508,1.2410575427682737,40.0,215.0,260.0,60.0
716,467.0,899.0,506.0,0.9229249011857708,2.9055324500969575,462.58337077194557,63.0,0.6507936507936508,1.2420943494038361,40.0,220.0,260.0,60.0
1019,468.0,869.0,401.0,1.167082294264339,2.15296634526925,383.73344325618666,51.0,0.5882352941176471,1.2700519330640507,50.0,170.0,290.0,60.0
1819,468.0,877.0,604.0,0.7748344370860927,2.8355564975423766,535.0367654891644,49.0,0.5714285714285714,1.2231759656652361,65.0,180.0,300.0,55.0
1864,468.0,1056.0,594.0,0.7878787878787878,2.769102987121725,652.750691263449,47.0,0.574468085106383,1.2313395946613939,65.0,190.0,310.0,55.0
1802,469.0,1112.0,643.0,0.7293934681181959,3.167736186764415,706.2054569286134,45.0,0.5555555555555556,1.250266808964781,65.0,175.0,310.0,60.0
694,471.0,827.0,700.0,0.6728571428571428,1.8958266862141486,360.15061437920605,68.0,0.6470588235294118,1.232134056185313,40.0,215.0,260.0,55.0
316,471.0,858.0,769.0,0.6124837451235371,2.1098863558159464,400.17180849339303,68.0,0.6764705882352942,1.2383603238866396,35.0,185.0,260.0,55.0
1384,472.0,826.0,382.0,1.2356020942408377,3.0901467945455012,469.49245283892753,42.0,0.6190476190476191,1.3035369774919614,55.0,195.0,320.0,55.0
296,472.0,828.0,502.0,0.9402390438247012,2.6652624565268996,459.4025631168687,63.0,0.6666666666666666,1.2586301369863016,35.0,180.0,260.0,60.0
1690,473.0,918.0,494.0,0.9574898785425101,2.780969706252922,571.2988018100218,50.0,0.58,1.23334977799704,60.0,210.0,290.0,55.0
329,473.0,781.0,513.0,0.9220272904483431,2.3023369915122758,427.9354959728404,47.0,0.7021276595744681,1.3248626373626373,35.0,185.0,300.0,60.0
520,474.0,833.0,513.0,0.9239766081871345,2.3524620163023484,453.3140767638218,47.0,0.6170212765957447,1.3284823284823286,40.0,170.0,310.0,55.0
948,475.0,879.0,723.0,0.656984785615491,0.8328009589778598,322.557095813514,65.0,0.6,1.2150294250792213,45.0,215.0,270.0,50.0
1885,475.0,1063.0,594.0,0.7996632996632996,2.79875618921099,659.749468526092,47.0,0.574468085106383,1.2347998022738507,65.0,195.0,310.0,55.0
50,475.0,677.0,432.0,1.099537037037037,2.178851805842409,337.64407227118835,55.0,0.7090909090909091,1.3260123541523678,30.0,180.0,280.0,60.0
1570,476.0,1004.0,559.0,0.851520572450805,2.819766032412743,628.3782519487377,47.0,0.574468085106383,1.2511873350923484,60.0,180.0,310.0,55.0
404,477.0,906.0,429.0,1.1118881118881119,3.0612143852879705,521.4140957533035,58.0,0.6724137931034483,1.2863145258103241,35.0,205.0,270.0,60.0
257,479.0,753.0,445.0,1.0764044943820226,2.599130103779057,420.8648458378298,58.0,0.6551724137931034,1.2958616429894998,35.0,170.0,270.0,60.0
715,481.0,837.0,700.0,0.6871428571428572,2.063877186653542,369.41960270299063,68.0,0.6470588235294118,1.2370625924100542,40.0,220.0,260.0,55.0
637,482.0,793.0,599.0,0.8046744574290484,1.9999182670733975,342.2005752423475,56.0,0.625,1.2845336481700118,40.0,200.0,280.0,55.0
1360,482.0,902.0,471.0,1.0233545647558386,2.311897317097894,536.0583162350805,47.0,0.5957446808510638,1.267480577136515,55.0,190.0,310.0,55.0
1903,484.0,1004.0,547.0,0.8848263254113345,2.9619283305565753,634.4269808113603,49.0,0.5714285714285714,1.2308059132093467,65.0,200.0,300.0,55.0
350,486.0,794.0,513.0,0.9473684210526315,2.3132729901660256,438.96428587969933,47.0,0.7021276595744681,1.333791208791209,35.0,190.0,300.0,60.0
914,487.0,871.0,384.0,1.2682291666666667,2.681973575332337,468.49315683922396,51.0,0.6470588235294118,1.2734418865805728,45.0,205.0,290.0,60.0
68,488.0,724.0,459.0,1.0631808278867103,2.519629791448189,387.13798868967945,58.0,0.7068965517241379,1.3193717277486912,30.0,185.0,270.0,60.0
586,489.0,786.0,328.0,1.4908536585365855,3.0900488257580814,419.6689809132551,42.0,0.6428571428571429,1.3796583850931678,40.0,185.0,320.0,55.0
1381,489.0,909.0,471.0,1.0382165605095541,2.3420556160740515,543.0570934977236,47.0,0.5957446808510638,1.2713651498335183,55.0,195.0,310.0,55.0
1846,490.0,952.0,490.0,1.0,3.923032153667291,599.0103701096295,42.0,0.5952380952380952,1.289085545722714,65.0,185.0,320.0,55.0
1315,491.0,870.0,501.0,0.9800399201596807,2.1208957492948577,424.0268955902718,49.0,0.5918367346938775,1.2629887520085699,55.0,180.0,300.0,55.0
1711,492.0,930.0,493.0,0.9979716024340771,2.7928120788765107,582.6598242778208,50.0,0.58,1.2427232363098175,60.0,215.0,290.0,55.0
822,494.0,882.0,723.0,0.6832641770401107,0.7367662442320525,275.8314336132352,65.0,0.6,1.2236306020823904,45.0,185.0,270.0,50.0
1277,494.0,963.0,469.0,1.0533049040511726,2.569114897352923,570.130462370721,45.0,0.5777777777777777,1.3070229956494717,55.0,170.0,310.0,60.0
775,495.0,849.0,382.0,1.2958115183246073,2.807393390545728,460.80884076161715,42.0,0.6190476190476191,1.371064467766117,45.0,170.0,320.0,55.0
407,498.0,888.0,428.0,1.1635514018691588,3.075873994965778,490.5467442302081,55.0,0.6727272727272727,1.3132075471698113,35.0,205.0,280.0,60.0
780,499.0,887.0,723.0,0.690179806362379,0.7708376116279645,291.23226451884824,65.0,0.6,1.225894069714803,45.0,175.0,270.0,50.0
260,500.0,735.0,445.0,1.1235955056179776,2.4512984686349197,389.99749431473447,55.0,0.6545454545454545,1.324044069993519,35.0,170.0,280.0,60.0
371,500.0,808.0,513.0,0.9746588693957114,2.359279293246364,452.07827834874877,47.0,0.7021276595744681,1.3434065934065935,35.0,195.0,300.0,60.0
521,501.0,854.0,353.0,1.4192634560906516,2.9740172956540483,525.6230773149799,45.0,0.6222222222222222,1.3599137931034484,40.0,170.0,310.0,60.0
89,501.0,737.0,459.0,1.091503267973856,2.5403963604617736,398.16677859653834,58.0,0.7068965517241379,1.3278795811518325,30.0,190.0,270.0,60.0
658,502.0,813.0,599.0,0.8380634390651085,2.0812860660475367,360.2733466414091,56.0,0.625,1.296340023612751,40.0,205.0,280.0,55.0
632,503.0,935.0,510.0,0.9862745098039216,2.6732784607564284,502.4296578651191,63.0,0.6507936507936508,1.2607568688439605,40.0,200.0,260.0,60.0
541,503.0,862.0,513.0,0.9805068226120858,2.42623354738177,479.5510191793765,47.0,0.6170212765957447,1.3485793485793487,40.0,175.0,310.0,55.0
1066,503.0,909.0,421.0,1.1947743467933492,2.2585668600274933,510.9317119712471,47.0,0.5957446808510638,1.3028296207104153,50.0,180.0,310.0,55.0
71,504.0,706.0,432.0,1.1666666666666667,2.238203935991934,356.09185351235936,55.0,0.7090909090909091,1.3459162663006177,30.0,185.0,280.0,60.0
337,505.0,870.0,769.0,0.6566970091027308,2.132035761801692,417.1666396491114,68.0,0.6764705882352942,1.2573904179408766,35.0,190.0,260.0,55.0
736,505.0,861.0,700.0,0.7214285714285714,2.082289200081752,384.57244487260834,68.0,0.6470588235294118,1.2488910793494332,40.0,225.0,260.0,55.0
607,507.0,804.0,328.0,1.545731707317073,3.0682715396830185,432.35206035876223,42.0,0.6428571428571429,1.3936335403726707,40.0,190.0,320.0,55.0
1399,507.0,886.0,478.0,1.0606694560669456,2.4463595844163506,523.4171109124677,49.0,0.5918367346938775,1.2715586502410283,55.0,200.0,300.0,55.0
1867,508.0,970.0,490.0,1.036734693877551,3.9049830155006258,611.6934495551367,42.0,0.5952380952380952,1.2997050147492626,65.0,190.0,320.0,55.0
825,511.0,899.0,594.0,0.8602693602693603,1.014346333645426,332.0670884493004,61.0,0.5901639344262295,1.253095591877167,45.0,185.0,280.0,50.0
1525,513.0,912.0,560.0,0.9160714285714285,2.9734501370277355,573.6220166829544,49.0,0.5714285714285714,1.2617346938775509,60.0,170.0,300.0,55.0
1585,513.0,899.0,543.0,0.9447513812154696,2.6979140333322214,519.537082752456,50.0,0.58,1.2530833744449925,60.0,185.0,290.0,55.0
1784,513.0,1014.0,529.0,0.9697542533081286,3.6399489329529655,674.9155801749811,40.0,0.55,1.3240682248894504,65.0,170.0,320.0,60.0
679,513.0,824.0,599.0,0.8564273789649416,2.0799242556706017,367.7443321028767,56.0,0.625,1.3028335301062575,40.0,210.0,280.0,55.0
1040,513.0,914.0,401.0,1.2793017456359101,2.2257461364865505,419.8082016034533,51.0,0.5882352941176471,1.2960184650894404,50.0,175.0,290.0,60.0
1280,513.0,890.0,405.0,1.2666666666666666,3.0756526851296213,544.3754220528093,40.0,0.575,1.3728197674418605,55.0,170.0,320.0,60.0
843,514.0,902.0,723.0,0.710926694329184,0.7501179758679382,286.17257733582204,65.0,0.6,1.2326844726120416,45.0,190.0,270.0,50.0
358,514.0,877.0,769.0,0.6684005201560468,2.1660177663633617,424.7125131421108,68.0,0.6764705882352942,1.2619775739041794,35.0,195.0,260.0,55.0
634,514.0,859.0,672.0,0.7648809523809523,1.7088778232294346,339.8297384546267,61.0,0.6557377049180327,1.2787418655097613,40.0,200.0,270.0,55.0
110,515.0,751.0,459.0,1.122004357298475,2.5986558757014087,411.2807710655878,58.0,0.7068965517241379,1.337041884816754,30.0,195.0,270.0,60.0
1924,516.0,1024.0,535.0,0.9644859813084112,3.0209106807724804,659.4746444103766,49.0,0.5714285714285714,1.246065808297568,65.0,205.0,300.0,55.0
92,517.0,719.0,432.0,1.1967592592592593,2.2701890320138793,367.12064341921825,55.0,0.7090909090909091,1.3548387096774193,30.0,190.0,280.0,60.0
557,518.0,871.0,412.0,1.2572815533980584,2.113606516091393,371.532062118763,51.0,0.6470588235294118,1.3282636248415716,40.0,180.0,290.0,60.0
317,519.0,859.0,499.0,1.0400801603206413,2.726995140320563,490.06960339772775,63.0,0.6666666666666666,1.2843835616438357,35.0,185.0,260.0,60.0
1405,521.0,875.0,382.0,1.3638743455497382,2.986184190069892,492.59235603888675,42.0,0.6190476190476191,1.335048231511254,55.0,200.0,320.0,55.0
783,523.0,911.0,594.0,0.8804713804713805,1.049960007717291,349.379048580652,61.0,0.5901639344262295,1.2590391282813274,45.0,175.0,280.0,50.0
1789,523.0,962.0,615.0,0.8504065040650407,1.087943618312094,348.32681824287084,61.0,0.5573770491803278,1.2100401606425704,65.0,175.0,270.0,55.0
846,523.0,911.0,594.0,0.8804713804713805,1.0234084833233141,340.2196897767115,61.0,0.5901639344262295,1.2590391282813274,45.0,190.0,280.0,50.0
796,524.0,878.0,382.0,1.3717277486910995,2.8741818876803533,487.04578317717187,42.0,0.6190476190476191,1.3928035982008995,45.0,175.0,320.0,55.0
1606,525.0,911.0,543.0,0.9668508287292817,2.7102953039816597,529.6923148178167,50.0,0.58,1.2590034533793784,60.0,190.0,290.0,55.0
1187,525.0,926.0,401.0,1.3092269326683292,2.2404170938015193,451.2760144320061,51.0,0.5882352941176471,1.3029428736295443,50.0,210.0,290.0,60.0
740,527.0,948.0,458.0,1.1506550218340612,2.6278871164476634,473.38978458517244,58.0,0.6379310344827587,1.2974040632054176,40.0,225.0,270.0,60.0
1298,527.0,996.0,469.0,1.1236673773987207,2.6194919657702678,598.0526193905766,45.0,0.5777777777777777,1.3275326289620881,55.0,175.0,310.0,60.0
700,528.0,839.0,599.0,0.8814691151919867,2.086685060598055,376.7803519075166,56.0,0.625,1.3116883116883116,40.0,215.0,280.0,55.0
1954,528.0,967.0,684.0,0.7719298245614035,1.3146426964851345,476.0104720044093,68.0,0.5441176470588235,1.1949778434268834,65.0,215.0,260.0,55.0
721,530.0,841.0,599.0,0.8848080133555927,2.318054940443976,383.8612980468623,56.0,0.625,1.3128689492325856,40.0,220.0,280.0,55.0
113,531.0,733.0,432.0,1.2291666666666667,2.3322180037762905,380.23463588826775,55.0,0.7090909090909091,1.3644474948524363,30.0,195.0,280.0,60.0
1627,532.0,918.0,543.0,0.9797421731123389,2.7460641208694523,536.6910920804598,50.0,0.58,1.26245683275777,60.0,195.0,290.0,55.0
278,532.0,806.0,441.0,1.2063492063492063,2.65639277728791,459.6646179640497,58.0,0.6551724137931034,1.3285978999382335,35.0,175.0,270.0,60.0
1823,533.0,1140.0,607.0,0.8780889621087314,3.2405584471927713,726.7483662098384,45.0,0.5555555555555556,1.284418356456777,65.0,180.0,310.0,60.0
1250,533.0,934.0,401.0,1.3291770573566084,2.5761103160716283,474.5536036015173,51.0,0.5882352941176471,1.3075591459896134,50.0,225.0,290.0,60.0
542,534.0,887.0,353.0,1.5127478753541077,3.019034885220285,553.5452343348355,45.0,0.6222222222222222,1.3836206896551724,40.0,175.0,310.0,60.0
524,534.0,850.0,344.0,1.552325581395349,3.2372349673585674,516.1514619585103,40.0,0.6,1.453695836873407,40.0,170.0,320.0,60.0
1906,535.0,1086.0,557.0,0.9605026929982047,2.8587763966566797,690.2461314720554,47.0,0.574468085106383,1.2644587246663372,65.0,200.0,310.0,55.0
1945,536.0,1044.0,535.0,1.0018691588785047,3.0344317061607766,675.5491804417602,49.0,0.5714285714285714,1.2556032427277062,65.0,210.0,300.0,55.0
628,538.0,835.0,328.0,1.6402439024390243,3.04324358837813,449.4618334576141,42.0,0.6428571428571429,1.4177018633540373,40.0,195.0,320.0,55.0
1888,539.0,1001.0,490.0,1.1,3.9325774339786603,628.8032226539885,42.0,0.5952380952380952,1.3179941002949853,65.0,195.0,320.0,55.0
1775,539.0,990.0,451.0,1.1951219512195121,2.877427381996255,593.4205290191701,51.0,0.5490196078431373,1.2597590361445783,65.0,170.0,290.0,60.0
1420,539.0,918.0,471.0,1.1443736730360934,2.496677268163981,548.464774511484,49.0,0.5918367346938775,1.2886984467059455,55.0,205.0,300.0,55.0
809,540.0,904.0,364.0,1.4835164835164836,2.1524354172586753,393.19156681750184,51.0,0.6274509803921569,1.3114186851211074,45.0,180.0,290.0,60.0
655,542.0,887.0,672.0,0.8065476190476191,1.7703433561816069,360.0907002487159,61.0,0.6557377049180327,1.2939262472885031,40.0,205.0,270.0,55.0
562,543.0,881.0,513.0,1.0584795321637428,2.3974717584373533,489.9621877735527,47.0,0.6170212765957447,1.3762993762993763,40.0,180.0,310.0,55.0
1208,544.0,945.0,401.0,1.3566084788029926,2.235595990732254,462.637036899805,51.0,0.5882352941176471,1.3139065204847087,50.0,215.0,290.0,60.0
1594,544.0,1000.0,484.0,1.1239669421487604,4.040185774335582,635.801393179534,42.0,0.5952380952380952,1.3315051797684339,60.0,185.0,320.0,55.0
742,545.0,856.0,599.0,0.9098497495826378,2.3459631393594997,396.5527004432423,56.0,0.625,1.32172373081464,40.0,225.0,280.0,55.0
653,545.0,977.0,506.0,1.0770750988142292,2.72531701331906,531.5775905589855,63.0,0.6507936507936508,1.2825298081907723,40.0,205.0,260.0,60.0
338,546.0,872.0,499.0,1.094188376753507,2.719720055825677,505.74944999976844,63.0,0.6666666666666666,1.301490889011596,35.0,190.0,260.0,60.0
1301,546.0,923.0,405.0,1.348148148148148,3.1177758099787947,572.2975790726649,40.0,0.575,1.3968023255813955,55.0,175.0,320.0,60.0
1805,546.0,1047.0,529.0,1.0321361058601135,3.689665562300386,702.8377371948367,40.0,0.55,1.344914718888187,65.0,175.0,320.0,60.0
1447,547.0,901.0,382.0,1.431937172774869,3.029934808784139,513.5649278168117,42.0,0.6190476190476191,1.3517684887459807,55.0,210.0,320.0,55.0
1021,547.0,926.0,444.0,1.231981981981982,2.2131672835772687,460.5895215113775,49.0,0.5918367346938775,1.3182082606166374,50.0,170.0,300.0,55.0
1426,547.0,901.0,382.0,1.431937172774869,3.029934808784139,513.5649278168117,42.0,0.6190476190476191,1.3517684887459807,55.0,205.0,320.0,55.0
677,548.0,969.0,450.0,1.2177777777777778,2.315123678524743,466.96833388140374,58.0,0.6379310344827587,1.309255079006772,40.0,210.0,270.0,60.0
1402,549.0,955.0,471.0,1.1656050955414012,2.3622379197640253,573.5537564436869,47.0,0.5957446808510638,1.304661487236404,55.0,200.0,310.0,55.0
527,549.0,911.0,538.0,1.020446096654275,2.391502878019665,452.23460809878236,63.0,0.6349206349206349,1.2895569620253164,40.0,175.0,260.0,60.0
578,549.0,902.0,412.0,1.3325242718446602,2.2188017924096997,396.7492786312752,51.0,0.6470588235294118,1.3479087452471483,40.0,185.0,290.0,60.0
1786,550.0,989.0,689.0,0.7982583454281568,1.4265174337522928,487.8337262457795,68.0,0.5441176470588235,1.2020573108008816,65.0,175.0,260.0,55.0
1441,550.0,929.0,471.0,1.167728237791932,2.4834231712679644,555.9357599729516,49.0,0.5918367346938775,1.2945902517407606,55.0,210.0,300.0,55.0
817,552.0,906.0,382.0,1.4450261780104712,2.806737431206448,489.30435044393704,42.0,0.6190476190476191,1.413793103448276,45.0,180.0,320.0,55.0
