s_time,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,e_time
2015-01-01 09:15:00,658.0,799.0,290.0,2.268965517241379,1.4421255997180524,364.67694171661776,53.0,0.660377358490566,1.46013986013986,30.0,140.0,290.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,653.0,1008.0,502.0,1.300796812749004,1.9567812816306756,490.57717127917357,104.0,0.6442307692307693,1.1956847467785436,40.0,130.0,270.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,651.0,821.0,387.0,1.682170542635659,2.2849356281358655,479.6882923096544,53.0,0.6037735849056604,1.346460883448643,50.0,140.0,290.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,649.0,808.0,359.0,1.807799442896936,1.0425985294198687,282.8908557581941,72.0,0.6666666666666666,1.301860465116279,30.0,150.0,260.0,14.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,645.0,874.0,651.0,0.9907834101382489,0.9838247642618961,296.2857798750159,117.0,0.5982905982905983,1.1528798293434463,50.0,120.0,260.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,639.0,739.0,597.0,1.07035175879397,1.6386577656314534,323.5780002550695,63.0,0.5873015873015873,1.2845057880676758,50.0,140.0,270.0,18.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,632.0,808.0,657.0,0.9619482496194824,1.7940805872493641,400.8024996811631,96.0,0.6875,1.2301529497450838,30.0,140.0,280.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,614.0,840.0,426.0,1.4413145539906103,1.1822308307673526,305.9730774135952,72.0,0.6388888888888888,1.2597292724196278,40.0,140.0,260.0,14.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,606.0,769.0,363.0,1.6694214876033058,1.2370989818804168,315.6959316413723,72.0,0.6527777777777778,1.2903689506468614,30.0,120.0,260.0,14.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,599.0,690.0,573.0,1.0453752181500873,0.5767324195016156,172.57699273051907,121.0,0.6859504132231405,1.1694483734087695,30.0,140.0,260.0,18.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,595.0,686.0,553.0,1.0759493670886076,0.5867288634851209,165.95805381966585,121.0,0.6859504132231405,1.1683168316831682,30.0,150.0,260.0,18.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,594.0,745.0,524.0,1.133587786259542,1.919002201135619,369.3160438719551,107.0,0.6822429906542056,1.1972766522749916,30.0,140.0,270.0,18.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,582.0,723.0,338.0,1.7218934911242603,1.3561404022015449,304.1619436296391,53.0,0.6415094339622641,1.3516616314199394,40.0,140.0,290.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,578.0,719.0,290.0,1.993103448275862,1.4454817549721084,344.1720061216682,53.0,0.6415094339622641,1.4179320318148951,30.0,120.0,290.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,562.0,822.0,369.0,1.5230352303523036,1.7579050065383954,446.64044127024613,63.0,0.6825396825396826,1.3056008700380641,30.0,130.0,270.0,14.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,545.0,933.0,502.0,1.0856573705179282,1.9408580841436718,440.1540364749394,104.0,0.6346153846153846,1.1656534954407296,40.0,120.0,270.0,16.0,2.0,2016-01-01 09:15:00
